1,BALI
2,BANGKA BELITUNG
3,BANTEN
4,BENGKULU
5,DI YOGYAKARTA
6,DKI JAKARTA
7,GORONTALO
8,JAMBI
9,JAWA BARAT
10,JAWA TENGAH
11,JAWA TIMUR
12,KALIMANTAN BARAT
13,KALIMANTAN SELATAN
14,KALIMANTAN TENGAH
15,KALIMANTAN TIMUR
16,KALIMANTAN UTARA
17,KEPULAUAN RIAU
18,LAMPUNG
19,MALUKU
20,MALUKU UTARA
21,NANGGROE ACEH DARUSSALAM (NAD)
22,NUSA TENGGARA BARAT (NTB)
23,NUSA TENGGARA TIMUR (NTT)
24,PAPUA
25,PAPUA BARAT
26,RIAU
27,SULAWESI BARAT
28,SULAWESI SELATAN
29,SULAWESI TENGAH
30,SULAWESI TENGGARA
31,SULAWESI UTARA
32,SUMATERA BARAT
33,SUMATERA SELATAN
34,SUMATERA UTARA